last_obs,v_inf,ip,h,range,n_imp,last_obs_jd,fullname,ps_max,ts_max,diameter,ps_cum,id,des
2013-01-07,19.70,9.662e-10,25.97,2085-2085,1,2456299.5,(2013 AC4),-9.33,0,0.022,-9.33,bK13A04C,2013 AC4
2013-04-13,7.14386683456189,0.0001472515247,26.22,2028-2122,136,2456395.5,(2013 GM3),-5.10,0,0.019,-4.42,bK13G03M,2013 GM3
2006-04-22,5.0270664180942,2.1695082e-06,26.51,2074-2121,28,2453847.5,(2006 HE2),-7.25,0,0.017,-6.73,bK06H02E,2006 HE2
2006-05-07,16.3972543301026,9.957905e-06,24.47,2068-2112,25,2453862.5,(2006 HF6),-5.08,0,0.043,-4.60,bK06H06F,2006 HF6
2018-06-21,5.90,2.184e-07,27.69,2102-2102,1,2458290.5,(2018 LE1),-8.32,0,0.0098,-8.32,bK18L01E,2018 LE1
2018-10-05,7.35069559978824,1.64333e-06,28.19,2104-2115,2,2458396.5,(2018 TS6),-7.66,0,0.0078,-7.65,bK18T06S,2018 TS6
2015-10-13,12.1708582515407,9.2001e-07,28.83,2059-2100,3,2457308.5,(2015 SK7),-8.24,0,0.0058,-7.92,bK15S07K,2015 SK7
2016-11-25,14.1285912812899,2.467888e-06,28.33,2100-2115,11,2457717.5,(2016 WR55),-7.66,0,0.0073,-7.39,bK16W55R,2016 WR55
2019-11-05,8.22453542333145,2.06547555e-05,27.68,2065-2118,30,2458792.5,(2019 VH),-6.10,0,0.0099,-6.03,bK19V00H,2019 VH
2011-10-24,14.0475151744823,1.8125989e-05,27.92,2084-2121,41,2455858.5,(2011 UC64),-6.97,0,0.0088,-6.29,bK11U64C,2011 UC64
2011-12-30,10.9247462884712,4.637038e-06,29.67,2028-2050,9,2455925.5,(2011 YC40),-6.53,0,0.00393,-6.50,bK11Y40C,2011 YC40
2012-10-17,13.235061460685,1.963613e-06,28.45,2040-2058,8,2456217.5,(2012 UE),-7.17,0,0.0069,-7.04,bK12U00E,2012 UE
2012-01-24,11.6773390429767,2.5575678e-06,27.23,2072-2120,21,2455950.5,(2012 BW13),-7.30,0,0.012,-6.85,bK12B13W,2012 BW13
2008-08-27,12.96,2.648e-07,24.59,2107-2107,1,2454705.5,(2008 OO1),-6.56,0,0.041,-6.56,bK08O01O,2008 OO1
2010-05-03,24.7401522287838,8.78349e-08,21.89,2116-2116,3,2455319.5,(2010 HV20),-5.48,0,0.14,-5.47,bK10H20V,2010 HV20
2013-08-09,17.2591763060648,2.66009e-06,27.30,2096-2120,4,2456513.5,(2013 PS13),-6.70,0,0.012,-6.68,bK13P13S,2013 PS13
2014-01-11,14.8090336894561,6.86031674e-05,29.99,2049-2120,45,2456668.5,(2014 AG51),-6.88,0,0.0034,-6.36,bK14A51G,2014 AG51
2014-02-28,13.0356656960208,9.167435e-06,27.04,2108-2120,9,2456716.5,(2014 CE),-6.39,0,0.013,-6.25,bK14C00E,2014 CE
2018-05-08,8.00999056987238,0.000259985877,26.66,2067-2114,19,2458246.5,(2018 JD),-4.43,0,0.016,-4.43,bK18J00D,2018 JD
2009-11-25,14.76,1.124e-07,28.18,2037-2037,1,2455160.5,(2009 WQ52),-7.77,0,0.0078,-7.77,bK09W52Q,2009 WQ52
2001-09-29,12.56,6.222e-08,25.24,2080-2080,1,2452181.5,(2001 SD286),-7.34,0,0.03,-7.34,bK01SS6D,2001 SD286
2016-11-05,11.3631942633638,1.534e-07,27.79,2041-2050,3,2457697.5,(2016 UQ36),-7.84,0,0.0094,-7.72,bK16U36Q,2016 UQ36
2019-02-05,8.61714745603822,2.97549714e-05,27.68,2077-2122,37,2458519.5,(2019 BZ),-6.24,0,0.0098,-6.01,bK19B00Z,2019 BZ
2020-10-27,7.40133809473529,1.581607e-06,26.91,2062-2113,7,2459149.5,(2020 TD8),-7.17,0,0.014,-6.90,bK20T08D,2020 TD8
2022-02-26,2.8086204954955,2.98368e-06,27.18,2103-2121,9,2459636.5,(2021 SF1),-7.25,0,0.012,-7.02,bK21S01F,2021 SF1
